State: [[ 0.60972727  1.          0.63196874  1.          0.25        0.75
  -0.25      ]], Action: 1, Reward: -5, Score: -5, Episode: 1, Step: 2
State: [[  1.     1.     1.     1.     6.25  -5.25 -12.  ]], Action: 0, Reward: -11.25, Score: -804.5, Episode: 1, Step: 49
State: [[  1.     1.     1.     1.     6.5   -5.5  -12.25]], Action: 0, Reward: -13.125, Score: -817.625, Episode: 1, Step: 50
State: [[  1.     1.     1.     1.     6.75  -5.75 -12.5 ]], Action: 4, Reward: -7.5, Score: -825.125, Episode: 1, Step: 51
State: [[  1.     1.     1.     1.     7.    -6.   -12.75]], Action: 4, Reward: -9.375, Score: -834.5, Episode: 1, Step: 52
State: [[  1.     1.     1.     1.     7.25  -6.25 -13.  ]], Action: 0, Reward: -7.5, Score: -842.0, Episode: 1, Step: 53
State: [[  1.           1.           0.99426419   1.           7.5
   -6.5        -13.25      ]], Action: 0, Reward: -9.375, Score: -851.375, Episode: 1, Step: 54
State: [[  1.          1.          0.9612808   1.          7.75       -6.75
  -13.5      ]], Action: 0, Reward: -11.25, Score: -862.625, Episode: 1, Step: 55
State: [[  1.           1.           0.93765222   1.           8.
   -7.         -13.75      ]], Action: 4, Reward: -7.5, Score: -870.125, Episode: 1, Step: 56
State: [[  1.           1.           0.86728472   0.93726118   8.25
   -7.25       -14.        ]], Action: 0, Reward: -7.5, Score: -877.625, Episode: 1, Step: 57
State: [[  0.92148691   1.           0.80130459   1.           8.5
   -7.5        -14.25      ]], Action: 0, Reward: -9.375, Score: -887.0, Episode: 1, Step: 58
State: [[  0.86716892   1.           0.89598059   1.           0.25
    0.75       -14.5       ]], Action: 0, Reward: -11.25, Score: -898.25, Episode: 1, Step: 59
State: [[  0.87866389   1.           1.           1.           0.25
    0.75       -14.75      ]], Action: 0, Reward: -50, Score: -948.25, Episode: 1, Step: 60
State: [[  1.    1.    1.    1.    0.5   0.5 -15. ]], Action: 0, Reward: -50, Score: -998.25, Episode: 1, Step: 61
State: [[  1.     1.     1.     1.     0.75   0.25 -15.25]], Action: 2, Reward: -15, Score: -1013.25, Episode: 1, Step: 62
State: [[  1.    1.    1.    1.    1.    0.  -15.5]], Action: 0, Reward: -50, Score: -1063.25, Episode: 1, Step: 63
State: [[  1.     1.     1.     1.     1.25  -0.25 -15.75]], Action: 0, Reward: -9.375, Score: -1072.625, Episode: 1, Step: 64
State: [[  1.    1.    1.    1.    1.5  -0.5 -16. ]], Action: 0, Reward: -11.25, Score: -1083.875, Episode: 1, Step: 65
State: [[  1.     1.     1.     1.     1.75  -0.75 -16.25]], Action: 0, Reward: -13.125, Score: -1097.0, Episode: 1, Step: 66
State: [[  1.           1.           0.96550503   1.           2.
   -1.         -16.5       ]], Action: 2, Reward: -3, Score: -1100.0, Episode: 1, Step: 67
State: [[  1.           1.           0.83790291   0.99781887   2.25
   -1.25       -16.75      ]], Action: 1, Reward: -5, Score: -1105.0, Episode: 1, Step: 68
State: [[  0.97871565   1.           0.79977466   1.           2.5
   -1.5        -17.        ]], Action: 1, Reward: -6.25, Score: -1111.25, Episode: 1, Step: 69
State: [[  0.8566725   1.          0.8829313   1.          0.25        0.75
  -17.25     ]], Action: 0, Reward: -7.5, Score: -1118.75, Episode: 1, Step: 70
State: [[  0.85835185   1.           0.92337129   1.           0.25
    0.75       -17.5       ]], Action: 2, Reward: -15, Score: -1133.75, Episode: 1, Step: 71
State: [[  0.84332039   1.           0.91571285   1.           0.25
    0.75       -17.75      ]], Action: 0, Reward: -50, Score: -1183.75, Episode: 1, Step: 72
State: [[  0.89702842   1.           1.           1.           0.25
    0.75       -18.        ]], Action: 2, Reward: -15, Score: -1198.75, Episode: 1, Step: 73
State: [[  0.92616576   1.           1.00270008   1.           0.5
    0.5        -18.25      ]], Action: 2, Reward: -15, Score: -1213.75, Episode: 1, Step: 74
State: [[  0.95089306   1.           0.93319309   0.94172705   0.75
    0.25       -18.5       ]], Action: 3, Reward: -5, Score: -1218.75, Episode: 1, Step: 75
State: [[0.93006789 0.88997651 0.88634805 0.6967945  0.25       0.
  0.75      ]], Action: 2, Reward: -15, Score: -1233.75, Episode: 1, Step: 76
State: [[ 0.9304987   0.70495282  0.6596424   0.47134875  0.25       -0.25
   0.75      ]], Action: 0, Reward: 25, Score: -1208.75, Episode: 1, Step: 77
State: [[0.80280621 1.         0.35963855 0.50817046 0.25       0.75
  0.75      ]], Action: 2, Reward: -100, Score: -1308.75, Episode: 1, Step: 78
State: [[0.67445548 1.         0.25587544 0.37008327 0.25       0.75
  0.75      ]], Action: 2, Reward: -100, Score: -1408.75, Episode: 1, Step: 79
State: [[0.58861391 1.         0.19561564 0.29516371 0.25       0.75
  0.75      ]], Action: 0, Reward: 25, Score: -1383.75, Episode: 1, Step: 80
State: [[0.48707156 1.         0.1786463  0.51223036 0.25       0.75
  0.75      ]], Action: 2, Reward: -100, Score: -1483.75, Episode: 1, Step: 81
State: [[0.36056596 1.         0.09901569 0.3962634  0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -1493.75, Episode: 1, Step: 82
State: [[0.27623172 1.         0.11595559 1.         0.25       0.75
  0.5       ]], Action: 1, Reward: -10, Score: -1503.75, Episode: 1, Step: 83
State: [[0.3151681  1.         0.46432672 1.         0.25       0.75
  0.25      ]], Action: 1, Reward: -10, Score: -1513.75, Episode: 1, Step: 84
State: [[0.34304066 1.         1.         1.         0.25       0.75
  0.        ]], Action: 0, Reward: 25, Score: -1488.75, Episode: 1, Step: 85
State: [[ 0.55889308  1.          1.          1.          0.25        0.75
  -0.25      ]], Action: 1, Reward: -5, Score: -1493.75, Episode: 1, Step: 86
State: [[ 1.   1.   1.   1.   0.5  0.5 -0.5]], Action: 2, Reward: -15, Score: -1508.75, Episode: 1, Step: 87
State: [[ 1.    1.    1.    1.    0.75  0.25 -0.75]], Action: 2, Reward: -15, Score: -1523.75, Episode: 1, Step: 88
State: [[ 1.  1.  1.  1.  1.  0. -1.]], Action: 4, Reward: 25, Score: -1498.75, Episode: 1, Step: 89
State: [[ 0.83669662  1.          1.          1.          0.25        0.75
  -1.25      ]], Action: 2, Reward: -3, Score: -1501.75, Episode: 1, Step: 90
State: [[ 0.86633394  1.          1.          1.          0.25        0.75
  -1.5       ]], Action: 4, Reward: -5, Score: -1506.75, Episode: 1, Step: 91
State: [[ 0.74857754  1.          1.          1.          0.25        0.75
  -1.75      ]], Action: 2, Reward: -15, Score: -1521.75, Episode: 1, Step: 92
State: [[ 0.79241364  1.          1.          1.          0.25        0.75
  -2.        ]], Action: 2, Reward: -15, Score: -1536.75, Episode: 1, Step: 93
State: [[ 0.83307792  1.          1.          1.          0.25        0.75
  -2.25      ]], Action: 2, Reward: -15, Score: -1551.75, Episode: 1, Step: 94
State: [[ 0.87531435  1.          1.          1.          0.25        0.75
  -2.5       ]], Action: 2, Reward: -15, Score: -1566.75, Episode: 1, Step: 95
State: [[ 0.89645944  1.          1.          1.          0.25        0.75
  -2.75      ]], Action: 3, Reward: 20, Score: -1546.75, Episode: 1, Step: 96
State: [[ 0.89003935  1.          1.          1.          0.25        0.75
  -3.        ]], Action: 0, Reward: -50, Score: -1596.75, Episode: 1, Step: 97
State: [[ 0.96368136  1.          1.          1.          0.5         0.5
  -3.25      ]], Action: 2, Reward: -15, Score: -1611.75, Episode: 1, Step: 98
State: [[ 1.    1.    1.    1.    0.75  0.25 -3.5 ]], Action: 1, Reward: -5, Score: -1616.75, Episode: 1, Step: 99
State: [[ 1.    1.    1.    1.    1.    0.   -3.75]], Action: 2, Reward: -15, Score: -1631.75, Episode: 1, Step: 100
State: [[ 1.    1.    1.    1.    1.25 -0.25 -4.  ]], Action: 0, Reward: -7.5, Score: -1639.25, Episode: 1, Step: 101
State: [[ 1.    1.    1.    1.    1.5  -0.5  -4.25]], Action: 2, Reward: -3, Score: -1642.25, Episode: 1, Step: 102
State: [[ 1.    1.    1.    1.    1.75 -0.75 -4.5 ]], Action: 2, Reward: -3.75, Score: -1646.0, Episode: 1, Step: 103
State: [[ 1.    1.    1.    1.    2.   -1.   -4.75]], Action: 2, Reward: -4.5, Score: -1650.5, Episode: 1, Step: 104
State: [[ 1.          1.          1.          0.95078674  2.25       -1.25
  -5.        ]], Action: 2, Reward: -5.25, Score: -1655.75, Episode: 1, Step: 105
State: [[ 1.          1.          1.          0.88631182  0.25       -1.5
   0.75      ]], Action: 0, Reward: -7.5, Score: -1663.25, Episode: 1, Step: 106
State: [[ 1.          1.          1.          0.81456724  0.25       -1.75
   0.75      ]], Action: 0, Reward: 25, Score: -1638.25, Episode: 1, Step: 107
State: [[ 1.          1.          0.82642757  0.81182111  0.25       -2.
   0.75      ]], Action: 2, Reward: -100, Score: -1738.25, Episode: 1, Step: 108
State: [[ 1.         1.         0.426934   0.5932489  0.25      -2.25
   0.75     ]], Action: 2, Reward: -100, Score: -1838.25, Episode: 1, Step: 109
State: [[ 1.          1.          0.22450555  1.          0.5        -2.5
   0.5       ]], Action: 2, Reward: -100, Score: -1938.25, Episode: 1, Step: 110
State: [[ 1.          1.          0.11176886  1.          0.75       -2.75
   0.25      ]], Action: 1, Reward: -10, Score: -1948.25, Episode: 1, Step: 111
State: [[ 1.          1.          0.29805792  1.          1.         -3.
   0.        ]], Action: 1, Reward: -10, Score: -1958.25, Episode: 1, Step: 112
State: [[ 0.27428453  1.          1.          1.          0.25        0.75
  -0.25      ]], Action: 1, Reward: -7.5, Score: -1965.75, Episode: 1, Step: 113
State: [[ 1.   1.   1.   1.   0.5  0.5 -0.5]], Action: 1, Reward: -5, Score: -1970.75, Episode: 1, Step: 114
State: [[ 1.    1.    1.    1.    0.75  0.25 -0.75]], Action: 3, Reward: -5, Score: -1975.75, Episode: 1, Step: 115
State: [[ 1.  1.  1.  1.  1.  0. -1.]], Action: 2, Reward: -15, Score: -1990.75, Episode: 1, Step: 116
State: [[ 1.    1.    1.    1.    1.25 -0.25 -1.25]], Action: 2, Reward: -3.75, Score: -1994.5, Episode: 1, Step: 117
State: [[ 1.   1.   1.   1.   1.5 -0.5 -1.5]], Action: 2, Reward: -4.5, Score: -1999.0, Episode: 1, Step: 118
State: [[ 1.    1.    1.    1.    1.75 -0.75 -1.75]], Action: 1, Reward: -5, Score: -2004.0, Episode: 1, Step: 119
State: [[ 1.  1.  1.  1.  2. -1. -2.]], Action: 1, Reward: -6.25, Score: -2010.25, Episode: 1, Step: 120
State: [[ 1.    1.    1.    1.    2.25 -1.25 -2.25]], Action: 1, Reward: -7.5, Score: -2017.75, Episode: 1, Step: 121
State: [[ 1.   1.   1.   1.   2.5 -1.5 -2.5]], Action: 1, Reward: -8.75, Score: -2026.5, Episode: 1, Step: 122
State: [[ 1.    1.    1.    1.    2.75 -1.75 -2.75]], Action: 2, Reward: -3, Score: -2029.5, Episode: 1, Step: 123
State: [[ 1.  1.  1.  1.  3. -2. -3.]], Action: 2, Reward: -3.75, Score: -2033.25, Episode: 1, Step: 124
State: [[ 1.    1.    1.    1.    3.25 -2.25 -3.25]], Action: 2, Reward: -4.5, Score: -2037.75, Episode: 1, Step: 125
State: [[ 1.   1.   1.   1.   3.5 -2.5 -3.5]], Action: 2, Reward: -5.25, Score: -2043.0, Episode: 1, Step: 126
State: [[ 1.    1.    1.    1.    3.75 -2.75 -3.75]], Action: 2, Reward: -6.0, Score: -2049.0, Episode: 1, Step: 127
State: [[ 1.  1.  1.  1.  4. -3. -4.]], Action: 2, Reward: -6.75, Score: -2055.75, Episode: 1, Step: 128
State: [[ 1.    1.    1.    1.    4.25 -3.25 -4.25]], Action: 2, Reward: -7.5, Score: -2063.25, Episode: 1, Step: 129
State: [[ 1.   1.   1.   1.   4.5 -3.5 -4.5]], Action: 3, Reward: -5, Score: -2068.25, Episode: 1, Step: 130
State: [[ 1.          0.94396561  1.          1.          4.75       -3.75
  -4.75      ]], Action: 2, Reward: -3, Score: -2071.25, Episode: 1, Step: 131
State: [[ 1.          0.63323488  1.          0.84162228  0.25       -4.
   0.75      ]], Action: 2, Reward: -3.75, Score: -2075.0, Episode: 1, Step: 132
State: [[ 1.          0.48024574  1.          0.65925416  0.25       -4.25
   0.75      ]], Action: 1, Reward: -10, Score: -2085.0, Episode: 1, Step: 133
State: [[ 1.          0.40236814  0.72978727  0.35712998  0.25       -4.5
   0.75      ]], Action: 1, Reward: -10, Score: -2095.0, Episode: 1, Step: 134
State: [[ 1.          0.37295801  0.57160625  0.31456748  0.25       -4.75
   0.75      ]], Action: 3, Reward: -50, Score: -2145.0, Episode: 1, Step: 135
State: [[ 1.          0.16855529  1.          0.26251557  0.25       -5.
   0.75      ]], Action: 1, Reward: -10, Score: -2155.0, Episode: 1, Step: 136
State: [[ 1.          0.12561318  0.5495088   0.13946597  0.25       -5.25
   0.75      ]], Action: 1, Reward: -10, Score: -2165.0, Episode: 1, Step: 137
State: [[ 1.          0.10015277  0.06945294  0.04699198  0.25       -5.5
   0.75      ]], Action: 1, Reward: -10, Score: -2175.0, Episode: 1, Step: 138
State: [[0.20073079 1.         0.01124135 0.01925471 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2185.0, Episode: 1, Step: 139
State: [[0.1003819  1.         0.00386613 0.01641138 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2195.0, Episode: 1, Step: 140
State: [[0.1010791  1.         0.00386985 0.0162324  0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2205.0, Episode: 1, Step: 141
State: [[0.1002249  1.         0.0038604  0.01644986 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2215.0, Episode: 1, Step: 142
State: [[0.10084753 1.         0.00386979 0.01630537 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2225.0, Episode: 1, Step: 143
State: [[0.10137705 1.         0.00387305 0.01613855 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2235.0, Episode: 1, Step: 144
State: [[0.10189823 1.         0.00387864 0.01599228 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2245.0, Episode: 1, Step: 145
State: [[0.10209283 1.         0.00387438 0.01599365 0.25       0.75
  0.75      ]], Action: 0, Reward: 25, Score: -2220.0, Episode: 1, Step: 146
State: [[0.09945965 1.         0.00385634 0.01675123 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2230.0, Episode: 1, Step: 147
State: [[0.09923042 1.         0.00385493 0.01678405 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2240.0, Episode: 1, Step: 148
State: [[0.09929537 1.         0.00385499 0.01675573 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2250.0, Episode: 1, Step: 149
State: [[0.09999115 1.         0.00386183 0.01655305 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2260.0, Episode: 1, Step: 150
State: [[0.09953719 1.         0.00385808 0.01669665 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2270.0, Episode: 1, Step: 151
State: [[0.10015149 1.         0.00386336 0.01650802 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2280.0, Episode: 1, Step: 152
State: [[0.10050764 1.         0.00386723 0.01640745 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -2290.0, Episode: 1, Step: 153
State: [[0.10071559 1.         0.00386803 0.01626624 0.25       0.75
  0.75      ]], Action: 4, Reward: -50, Score: -2340.0, Episode: 1, Step: 154
State: [[0.11181901 1.         0.00396253 0.01290941 0.25       0.75
  0.75      ]], Action: 3, Reward: -50, Score: -2390.0, Episode: 1, Step: 155
State: [[1.         0.13234181 0.00392459 0.00405718 0.25       0.5
  0.75      ]], Action: 1, Reward: -10, Score: -2400.0, Episode: 1, Step: 156
State: [[1.         0.13338338 0.00375531 0.00402456 0.25       0.25
  0.75      ]], Action: 2, Reward: -100, Score: -2500.0, Episode: 1, Step: 157
State: [[1.         0.13390888 0.00378342 0.0040642  0.25       0.
  0.75      ]], Action: 2, Reward: -100, Score: -2600.0, Episode: 1, Step: 158
State: [[ 1.          0.13346927  0.00375475  0.00402812  0.25       -0.25
   0.75      ]], Action: 2, Reward: -100, Score: -2700.0, Episode: 1, Step: 159
State: [[ 1.          0.1334069   0.00375387  0.00402448  0.25       -0.5
   0.75      ]], Action: 2, Reward: -100, Score: -2800.0, Episode: 1, Step: 160
State: [[ 1.          0.13472387  0.00377479  0.00406949  0.25       -0.75
   0.75      ]], Action: 0, Reward: 25, Score: -2775.0, Episode: 1, Step: 161
State: [[ 1.          0.15276625  0.00384449  0.00505069  0.25       -1.
   0.75      ]], Action: 2, Reward: -100, Score: -2875.0, Episode: 1, Step: 162
State: [[ 1.          0.13547601  0.00381263  0.00414517  0.25       -1.25
   0.75      ]], Action: 0, Reward: 25, Score: -2850.0, Episode: 1, Step: 163
State: [[ 1.          0.14171627  0.00380422  0.00446844  0.25       -1.5
   0.75      ]], Action: 2, Reward: -100, Score: -2950.0, Episode: 1, Step: 164
State: [[ 1.          0.13319465  0.0038417   0.00405845  0.25       -1.75
   0.75      ]], Action: 3, Reward: -50, Score: -3000.0, Episode: 1, Step: 165
State: [[ 1.          0.13342549  0.00376455  0.00403139  0.25       -2.
   0.75      ]], Action: 2, Reward: -100, Score: -3100.0, Episode: 1, Step: 166
State: [[ 1.          0.13348758  0.00376735  0.00403621  0.25       -2.25
   0.75      ]], Action: 1, Reward: -10, Score: -3110.0, Episode: 1, Step: 167
State: [[ 1.          0.13331736  0.00374634  0.00401467  0.25       -2.5
   0.75      ]], Action: 1, Reward: -10, Score: -3120.0, Episode: 1, Step: 168
State: [[ 1.          0.13342737  0.00376345  0.0040326   0.25       -2.75
   0.75      ]], Action: 3, Reward: -50, Score: -3170.0, Episode: 1, Step: 169
State: [[ 1.          0.13361714  0.00378089  0.00405024  0.25       -3.
   0.75      ]], Action: 1, Reward: -10, Score: -3180.0, Episode: 1, Step: 170
State: [[ 1.          0.13358625  0.00377729  0.00404638  0.25       -3.25
   0.75      ]], Action: 3, Reward: -50, Score: -3230.0, Episode: 1, Step: 171
State: [[ 1.          0.13319773  0.00378352  0.0040377   0.25       -3.5
   0.75      ]], Action: 4, Reward: -50, Score: -3280.0, Episode: 1, Step: 172
State: [[ 1.          0.1241354   0.00435558  0.00387696  0.25       -3.75
   0.75      ]], Action: 1, Reward: -10, Score: -3290.0, Episode: 1, Step: 173
State: [[ 1.00000000e+00  1.29157149e-01  4.08152973e-03  3.99353883e-03
   2.50000000e-01 -4.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3300.0, Episode: 1, Step: 174
State: [[ 1.00000000e+00  1.33283460e-01  3.87861316e-03  4.06049025e-03
   2.50000000e-01 -4.25000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3310.0, Episode: 1, Step: 175
State: [[ 1.00000000e+00  1.33376676e-01  3.75533775e-03  4.02387666e-03
   2.50000000e-01 -4.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3320.0, Episode: 1, Step: 176
State: [[ 1.00000000e+00  1.32003102e-01  3.83084049e-03  4.02680489e-03
   2.50000000e-01 -4.75000000e+00  7.50000000e-01]], Action: 4, Reward: -50, Score: -3370.0, Episode: 1, Step: 177
State: [[ 1.00000000e+00  1.14419671e-01  5.03604744e-03  3.68525536e-03
   2.50000000e-01 -5.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3380.0, Episode: 1, Step: 178
State: [[ 1.00000000e+00  1.24419561e-01  4.39679405e-03  3.90040305e-03
   2.50000000e-01 -5.25000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3390.0, Episode: 1, Step: 179
State: [[ 1.00000000e+00  1.33829071e-01  3.80448690e-03  4.07052407e-03
   2.50000000e-01 -5.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3400.0, Episode: 1, Step: 180
State: [[ 1.00000000e+00  1.34192213e-01  3.79090304e-03  4.08605190e-03
   2.50000000e-01 -5.75000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3410.0, Episode: 1, Step: 181
State: [[ 1.00000000e+00  1.33445567e-01  3.76245198e-03  4.03080772e-03
   2.50000000e-01 -6.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3420.0, Episode: 1, Step: 182
State: [[ 1.00000000e+00  1.33443578e-01  3.76215615e-03  4.03076199e-03
   2.50000000e-01 -6.25000000e+00  7.50000000e-01]], Action: 3, Reward: -50, Score: -3470.0, Episode: 1, Step: 183
State: [[ 1.00000000e+00  1.33434171e-01  3.76225888e-03  4.02984999e-03
   2.50000000e-01 -6.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3480.0, Episode: 1, Step: 184
State: [[ 1.00000000e+00  1.33449413e-01  3.76504625e-03  4.03635007e-03
   2.50000000e-01 -6.75000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3490.0, Episode: 1, Step: 185
State: [[ 1.00000000e+00  1.33482164e-01  3.76070676e-03  4.03033739e-03
   2.50000000e-01 -7.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -3500.0, Episode: 1, Step: 186
State: [[ 1.00000000e+00  1.33408854e-01  3.75997602e-03  4.02817993e-03
