State, Action, Reward, Score, Episode, Step
State: [[ 0.4142668   1.          0.24603348  1.          0.25        0.75  -0.5       ]], Action: 2, Reward: 30, Score: -262.5, Episode: 1, Step: 33
State: [[ 0.32363509  1.          0.15771197  1.          0.25        0.75  -0.75      ]], Action: 3, Reward: -5, Score: -267.5, Episode: 1, Step: 34
State: [[ 0.31757607  1.          0.1406313   1.          0.25        0.75  -1.        ]], Action: 3, Reward: -5, Score: -272.5, Episode: 1, Step: 35
State: [[ 0.31449364  1.          0.13071398  1.          0.25        0.75  -1.25      ]], Action: 1, Reward: 15, Score: -257.5, Episode: 1, Step: 36
State: [[ 0.31259396  1.          0.14079785  1.          0.25        0.75  -1.5       ]], Action: 3, Reward: -5, Score: -262.5, Episode: 1, Step: 37
State: [[ 0.30500884  1.          0.12428261  1.          0.25        0.75  -1.75      ]], Action: 2, Reward: -5, Score: -267.5, Episode: 1, Step: 38
State: [[ 0.29629919  1.          0.11546937  1.          0.25        0.75  -2.        ]], Action: 1, Reward: 15, Score: -252.5, Episode: 1, Step: 39
State: [[ 0.29364575  1.          0.12207727  1.          0.25        0.75  -2.25      ]], Action: 1, Reward: 15, Score: -237.5, Episode: 1, Step: 40
State: [[ 0.29316582  1.          0.14045115  1.          0.25        0.75  -2.5       ]], Action: 0, Reward: -50, Score: -287.5, Episode: 1, Step: 41
State: [[ 0.30620878  1.          0.38084074  1.          0.25        0.75  -2.75      ]], Action: 3, Reward: -5, Score: -292.5, Episode: 1, Step: 42
State: [[ 0.30001283  1.          0.34550578  1.          0.25        0.75  -3.        ]], Action: 3, Reward: -5, Score: -297.5, Episode: 1, Step: 43
State: [[ 0.29149548  1.          0.13348747  1.          0.25        0.75  -3.25      ]], Action: 3, Reward: -5, Score: -302.5, Episode: 1, Step: 44
State: [[ 0.28467968  1.          0.11399902  1.          0.25        0.75  -3.5       ]], Action: 0, Reward: -50, Score: -352.5, Episode: 1, Step: 45
State: [[ 0.28416877  1.          0.12755156  1.          0.25        0.75  -3.75      ]], Action: 3, Reward: -5, Score: -357.5, Episode: 1, Step: 46
State: [[ 0.28262285  1.          0.12050452  1.          0.25        0.75  -4.        ]], Action: 1, Reward: 15, Score: -342.5, Episode: 1, Step: 47
State: [[ 0.28244725  1.          0.14777813  1.          0.25        0.75  -4.25      ]], Action: 3, Reward: -5, Score: -347.5, Episode: 1, Step: 48
State: [[ 0.27222641  1.          0.10828801  1.          0.25        0.75  -4.5       ]], Action: 3, Reward: -5, Score: -352.5, Episode: 1, Step: 49
State: [[ 0.2589926   1.          0.08263283  1.          0.25        0.75  -4.75      ]], Action: 3, Reward: -5, Score: -357.5, Episode: 1, Step: 50
State: [[0.25428152 1.         0.0739893  0.44568193 0.25       0.75  0.75      ]], Action: 2, Reward: -5, Score: -362.5, Episode: 1, Step: 51
State: [[0.24649696 1.         0.06776172 0.42398858 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -462.5, Episode: 1, Step: 52
State: [[0.22009564 1.         0.05534163 0.39403937 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -562.5, Episode: 1, Step: 53
State: [[0.19629406 1.         0.04432763 0.36134888 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -662.5, Episode: 1, Step: 54
State: [[0.17433743 1.         0.03524422 0.33117587 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -762.5, Episode: 1, Step: 55
State: [[0.16519385 1.         0.03166301 0.31876133 0.25       0.75  0.75      ]], Action: 0, Reward: 10, Score: -752.5, Episode: 1, Step: 56
State: [[0.16020554 1.         0.03393353 1.         0.25       0.75  0.5       ]], Action: 3, Reward: -50, Score: -802.5, Episode: 1, Step: 57
State: [[0.15495276 1.         0.03078075 1.         0.25       0.75  0.25      ]], Action: 0, Reward: 10, Score: -792.5, Episode: 1, Step: 58
State: [[0.15215462 1.         0.03950269 1.         0.25       0.75  0.        ]], Action: 2, Reward: -100, Score: -892.5, Episode: 1, Step: 59
State: [[ 0.14627172  1.          0.03840009  1.          0.25        0.75  -0.25      ]], Action: 2, Reward: -5, Score: -897.5, Episode: 1, Step: 60
State: [[ 0.13760109  1.          0.03449936  1.          0.25        0.75  -0.5       ]], Action: 2, Reward: -5, Score: -902.5, Episode: 1, Step: 61
State: [[ 0.13351982  1.          0.03288326  1.          0.25        0.75  -0.75      ]], Action: 2, Reward: -5, Score: -907.5, Episode: 1, Step: 62
State: [[ 0.12603596  1.          0.02919833  1.          0.25        0.75  -1.        ]], Action: 3, Reward: -5, Score: -912.5, Episode: 1, Step: 63
State: [[ 0.11296293  1.          0.01845574  1.          0.25        0.75  -1.25      ]], Action: 3, Reward: -5, Score: -917.5, Episode: 1, Step: 64
State: [[0.09725703 1.         0.01031961 0.19870282 0.25       0.75  0.75      ]], Action: 3, Reward: -5, Score: -922.5, Episode: 1, Step: 65
State: [[0.08129593 1.         0.00486432 0.13633653 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -1022.5, Episode: 1, Step: 66
State: [[0.08016942 1.         0.00361692 0.1129373  0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -1122.5, Episode: 1, Step: 67
State: [[0.08492622 1.         0.00369003 0.10875896 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -1222.5, Episode: 1, Step: 68
State: [[0.08884249 1.         0.00374427 0.02016381 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -1322.5, Episode: 1, Step: 69
State: [[0.09118703 1.         0.00377145 0.01938336 0.25       0.75  0.75      ]], Action: 4, Reward: -50, Score: -1372.5, Episode: 1, Step: 70
State: [[0.096961   1.         0.0038133  0.01735196 0.25       0.75  0.75      ]], Action: 2, Reward: -100, Score: -1472.5, Episode: 1, Step: 71
State: [[0.09869979 1.         0.00384815 0.01671851 0.25       0.75 0.75      ]], Action: 4, Reward: -50, Score: -1522.5, Episode: 1, Step: 72
State: [[0.1061231 1.        0.0039049 0.0147337 0.25      0.75      0.75     ]], Action: 3, Reward: -50, Score: -1572.5, Episode: 1, Step: 73
State: [[0.10961524 1.         0.0039342  0.01398702 0.25       0.75  0.75      ]], Action: 3, Reward: -50, Score: -1622.5, Episode: 1, Step: 74
State: [[0.113002   1.         0.0039515  0.01321344 0.25       0.75  0.75      ]], Action: 3, Reward: -50, Score: -1672.5, Episode: 1, Step: 75
State: [[0.11469163 1.         0.00395356 0.01272056 0.25       0.75 0.75      ]], Action: 4, Reward: -50, Score: -1722.5, Episode: 1, Step: 76
State: [[0.13986116 1.         0.00397418 0.00834845 0.25       0.75  0.75      ]], Action: 3, Reward: -50, Score: -1772.5, Episode: 1, Step: 77
State: [[1.         0.13533101 0.00383314 0.00426512 0.25       0.5 0.75      ]], Action: 3, Reward: -50, Score: -1822.5, Episode: 1, Step: 78
State: [[1.         0.12852879 0.00409852 0.00398258 0.25       0.25  0.75      ]], Action: 4, Reward: -50, Score: -1872.5, Episode: 1, Step: 79
State: [[1.         0.12744792 0.00416403 0.00395108 0.25       0.  0.75      ]], Action: 2, Reward: -100, Score: -1972.5, Episode: 1, Step: 80
State: [[ 1.          0.13189666  0.00393022  0.00404812  0.25       -0.25   0.75      ]], Action: 2, Reward: -100, Score: -2072.5, Episode: 1, Step: 81
State: [[ 1.          0.13409059  0.00381435  0.0040907   0.25       -0.5   0.75      ]], Action: 0, Reward: 10, Score: -2062.5, Episode: 1, Step: 82
State: [[ 1.          0.13531619  0.00381232  0.00414585  0.25       -0.75  0.75      ]], Action: 0, Reward: 10, Score: -2052.5, Episode: 1, Step: 83
State: [[ 1.          0.13543859  0.00381125  0.00421163  0.25       -1.   0.75      ]], Action: 1, Reward: -10, Score: -2062.5, Episode: 1, Step: 84
State: [[ 1.          0.13362054  0.00378436  0.00404961  0.25       -1.25   0.75      ]], Action: 1, Reward: -10, Score: -2072.5, Episode: 1, Step: 85
State: [[ 1.          0.13335175  0.00375646  0.00402353  0.25       -1.5   0.75      ]], Action: 1, Reward: -10, Score: -2082.5, Episode: 1, Step: 86
State: [[ 1.          0.13335345  0.00375383  0.00402405  0.25       -1.75   0.75      ]], Action: 1, Reward: -10, Score: -2092.5, Episode: 1, Step: 87
State: [[ 1.          0.13339432  0.00375495  0.00402462  0.25       -2.   0.75      ]], Action: 1, Reward: -10, Score: -2102.5, Episode: 1, Step: 88
State: [[ 1.          0.13335925  0.00375591  0.00402331  0.25       -2.25  0.75      ]], Action: 0, Reward: 10, Score: -2092.5, Episode: 1, Step: 89
State: [[ 1.          0.13442759  0.00379501  0.0041282   0.25       -2.5   0.75      ]], Action: 3, Reward: -50, Score: -2142.5, Episode: 1, Step: 90
State: [[ 1.          0.13352101  0.00377251  0.00403741  0.25       -2.75   0.75      ]], Action: 1, Reward: -10, Score: -2152.5, Episode: 1, Step: 91
State: [[ 1.          0.13401262  0.00375535  0.00402416  0.25       -3.   0.75      ]], Action: 0, Reward: 10, Score: -2142.5, Episode: 1, Step: 92
State: [[ 1.          0.13874416  0.00382219  0.00432464  0.25       -3.25   0.75      ]], Action: 1, Reward: -10, Score: -2152.5, Episode: 1, Step: 93
State: [[ 1.          0.13386537  0.00380908  0.00407766  0.25       -3.5   0.75      ]], Action: 1, Reward: -10, Score: -2162.5, Episode: 1, Step: 94
State: [[ 1.          0.1338711   0.00380907  0.00407799  0.25       -3.75   0.75      ]], Action: 1, Reward: -10, Score: -2172.5, Episode: 1, Step: 95
State: [[ 1.00000000e+00  1.33883435e-01  3.81001586e-03  4.07924997e-03   2.50000000e-01 -4.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2182.5, Episode: 1, Step: 96
State: [[ 1.00000000e+00  1.33884801e-01  3.81034209e-03  4.07937619e-03   2.50000000e-01 -4.25000000e+00  7.50000000e-01]], Action: 0, Reward: 10, Score: -2172.5, Episode: 1, Step: 97
State: [[ 1.00000000e+00  1.33607038e-01  3.80416259e-03  4.10593750e-03   2.50000000e-01 -4.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2182.5, Episode: 1, Step: 98
State: [[ 1.00000000e+00  1.33420036e-01  3.76175776e-03  4.03195002e-03   2.50000000e-01 -4.75000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2192.5, Episode: 1, Step: 99
State: [[ 1.00000000e+00  1.33449956e-01  3.75907516e-03  4.02887755e-03  2.50000000e-01 -5.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2202.5, Episode: 1, Step: 100
State: [[ 1.00000000e+00  1.34205243e-01  3.79329071e-03  4.05063913e-03   2.50000000e-01 -5.25000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2212.5, Episode: 1, Step: 101
State: [[ 1.00000000e+00  1.33441767e-01  3.76134794e-03  4.02853260e-03   2.50000000e-01 -5.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2222.5, Episode: 1, Step: 102
State: [[ 1.00000000e+00  1.33432443e-01  3.76120081e-03  4.02982473e-03   2.50000000e-01 -5.75000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2232.5, Episode: 1, Step: 103
State: [[ 1.00000000e+00  1.33361402e-01  3.75688275e-03  4.02415604e-03   2.50000000e-01 -6.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2242.5, Episode: 1, Step: 104
State: [[ 1.00000000e+00  1.33376365e-01  3.75736653e-03  4.02495709e-03   2.50000000e-01 -6.25000000e+00  7.50000000e-01]], Action: 2, Reward: -100, Score: -2342.5, Episode: 1, Step: 105
State: [[ 1.00000000e+00  1.33362821e-01  3.75313918e-03  4.02179778e-03   2.50000000e-01 -6.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2352.5, Episode: 1, Step: 106
State: [[ 1.00000000e+00  1.33419926e-01  3.76001041e-03  4.02994911e-03   2.50000000e-01 -6.75000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2362.5, Episode: 1, Step: 107
State: [[ 1.00000000e+00  1.33509614e-01  3.76745390e-03  4.03720532e-03   2.50000000e-01 -7.00000000e+00  7.50000000e-01]], Action: 2, Reward: -100, Score: -2462.5, Episode: 1, Step: 108
State: [[ 1.00000000e+00  1.33449416e-01  3.76497712e-03  4.03293248e-03   2.50000000e-01 -7.25000000e+00  7.50000000e-01]], Action: 2, Reward: -100, Score: -2562.5, Episode: 1, Step: 109
State: [[ 1.00000000e+00  1.33488713e-01  3.76371641e-03  4.03396462e-03   2.50000000e-01 -7.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2572.5, Episode: 1, Step: 110
State: [[ 1.00000000e+00  1.33211770e-01  3.77036845e-03  4.02865196e-03   2.50000000e-01 -7.75000000e+00  7.50000000e-01]], Action: 4, Reward: -50, Score: -2622.5, Episode: 1, Step: 111
State: [[ 1.00000000e+00  1.27951945e-01  4.11667208e-03  3.95198130e-03   2.50000000e-01 -8.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2632.5, Episode: 1, Step: 112
State: [[ 1.00000000e+00  1.28958606e-01  4.08475133e-03  3.99912613e-03   2.50000000e-01 -8.25000000e+00  7.50000000e-01]], Action: 4, Reward: -50, Score: -2682.5, Episode: 1, Step: 113
State: [[ 1.00000000e+00  1.24413798e-01  4.32858731e-03  3.88202268e-03   2.50000000e-01 -8.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2692.5, Episode: 1, Step: 114
State: [[ 1.00000000e+00  1.25681529e-01  4.31299734e-03  3.92459219e-03  2.50000000e-01 -8.75000000e+00  7.50000000e-01]], Action: 3, Reward: -50, Score: -2742.5, Episode: 1, Step: 115
State: [[ 1.00000000e+00  1.27695235e-01  4.16742641e-03  3.96534843e-0   2.50000000e-01 -9.00000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2752.5, Episode: 1, Step: 116
State: [[ 1.00000000e+00  1.29961846e-01  4.04694283e-03  4.01016400e-03   2.50000000e-01 -9.25000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2762.5, Episode: 1, Step: 117
State: [[ 1.00000000e+00  1.32202267e-01  3.90958836e-03  4.05189101e-03   2.50000000e-01 -9.50000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2772.5, Episode: 1, Step: 118
State: [[ 1.00000000e+00  1.33915629e-01  3.81272106e-03  4.08277734e-03
   2.50000000e-01 -9.75000000e+00  7.50000000e-01]], Action: 1, Reward: -10, Score: -2782.5, Episode: 1, Step: 119
State: [[ 1.00000000e+00  1.33890402e-01  3.80872798e-03  4.07842740e-03
   2.50000000e-01 -1.00000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2792.5, Episode: 1, Step: 120
State: [[ 1.00000000e+00  1.33870475e-01  3.80578966e-03  4.07612510e-03
   2.50000000e-01 -1.02500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2802.5, Episode: 1, Step: 121
State: [[ 1.00000000e+00  1.33579968e-01  3.77628506e-03  4.04544011e-03
   2.50000000e-01 -1.05000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2812.5, Episode: 1, Step: 122
State: [[ 1.00000000e+00  1.33240566e-01  3.76356463e-03  4.02748083e-03
   2.50000000e-01 -1.07500000e+01  7.50000000e-01]], Action: 4, Reward: -50, Score: -2862.5, Episode: 1, Step: 123
State: [[ 1.00000000e+00  1.27755120e-01  4.12540590e-03  3.94671132e-03
   2.50000000e-01 -1.10000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2872.5, Episode: 1, Step: 124
State: [[ 1.00000000e+00  1.31051817e-01  3.98809129e-03  4.02928842e-03
   2.50000000e-01 -1.12500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2882.5, Episode: 1, Step: 125
State: [[ 1.00000000e+00  1.33881829e-01  3.80930551e-03  4.07856828e-03
   2.50000000e-01 -1.15000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2892.5, Episode: 1, Step: 126
State: [[ 1.00000000e+00  1.33628169e-01  3.78295702e-03  4.05176122e-03
   2.50000000e-01 -1.17500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2902.5, Episode: 1, Step: 127
State: [[ 1.00000000e+00  1.33411836e-01  3.75841891e-03  4.02617418e-03
   2.50000000e-01 -1.20000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -2912.5, Episode: 1, Step: 128
State: [[ 1.00000000e+00  1.32761849e-01  3.75637176e-03  4.02393620e-03
   2.50000000e-01 -1.22500000e+01  7.50000000e-01]], Action: 4, Reward: -50, Score: -2962.5, Episode: 1, Step: 129
State: [[ 1.00000000e+00  1.29893817e-01  3.96298169e-03  3.98454186e-03
   2.50000000e-01 -1.25000000e+01  7.50000000e-01]], Action: 4, Reward: -50, Score: -3012.5, Episode: 1, Step: 130
State: [[ 1.00000000e+00  1.23988447e-01  4.33673778e-03  3.86926949e-03
   2.50000000e-01 -1.27500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3022.5, Episode: 1, Step: 131
State: [[ 1.00000000e+00  1.28362700e-01  4.14025082e-03  3.97030704e-03
   2.50000000e-01 -1.30000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3032.5, Episode: 1, Step: 132
State: [[ 1.00000000e+00  1.29928376e-01  4.05368952e-03  3.99836813e-03
   2.50000000e-01 -1.32500000e+01  7.50000000e-01]], Action: 0, Reward: 10, Score: -3022.5, Episode: 1, Step: 133
State: [[ 1.00000000e+00  1.33164515e-01  3.83982378e-03  4.05868266e-03
   2.50000000e-01 -1.35000000e+01  7.50000000e-01]], Action: 4, Reward: -50, Score: -3072.5, Episode: 1, Step: 134
State: [[ 1.00000000e+00  1.33348463e-01  3.83637121e-03  4.06293458e-03
   2.50000000e-01 -1.37500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3082.5, Episode: 1, Step: 135
State: [[ 1.00000000e+00  1.33481809e-01  3.78918898e-03  4.05105826e-03
   2.50000000e-01 -1.40000000e+01  7.50000000e-01]], Action: 4, Reward: -50, Score: -3132.5, Episode: 1, Step: 136
State: [[ 1.00000000e+00  1.27847034e-01  4.10058350e-03  3.94189917e-03
   2.50000000e-01 -1.42500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3142.5, Episode: 1, Step: 137
State: [[ 1.00000000e+00  1.32985955e-01  3.87446810e-03  4.05651577e-03
   2.50000000e-01 -1.45000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3152.5, Episode: 1, Step: 138
State: [[ 1.00000000e+00  1.33851626e-01  3.80809722e-03  4.07554037e-03
   2.50000000e-01 -1.47500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3162.5, Episode: 1, Step: 139
State: [[ 1.00000000e+00  1.33469429e-01  3.77008217e-03  4.03462228e-03
   2.50000000e-01 -1.50000000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3172.5, Episode: 1, Step: 140
State: [[ 1.00000000e+00  1.33736652e-01  3.78443611e-03  4.08257017e-03
   2.50000000e-01 -1.52500000e+01  7.50000000e-01]], Action: 1, Reward: -10, Score: -3182.5, Episode: 1, Step: 141
State: [[  1.    1.    1.    1.    0.5 -15.5   0.5]], Action: 3, Reward: -50, Score: -3232.5, Episode: 1, Step: 142
State: [[  1.     1.     1.     1.     0.75 -15.75   0.25]], Action: 0, Reward: 10, Score: -3222.5, Episode: 1, Step: 143
State: [[  1.   1.   1.   1.   1. -16.   0.]], Action: 1, Reward: -10, Score: -3232.5, Episode: 1, Step: 144
State: [[  1.     1.     1.     1.     1.25 -16.25  -0.25]], Action: 1, Reward: -6.25, Score: -3238.75, Episode: 1, Step: 145
State: [[  1.    1.    1.    1.    1.5 -16.5  -0.5]], Action: 4, Reward: -7.5, Score: -3246.25, Episode: 1, Step: 146
State: [[  1.     1.     1.     1.     1.75 -16.75  -0.75]], Action: 1, Reward: -5, Score: -3251.25, Episode: 1, Step: 147
State: [[  1.   1.   1.   1.   2. -17.  -1.]], Action: 1, Reward: -6.25, Score: -3257.5, Episode: 1, Step: 148
State: [[  1.           1.           0.47420999   1.           2.25
  -17.25        -1.25      ]], Action: 1, Reward: -7.5, Score: -3265.0, Episode: 1, Step: 149
State: [[ 0.41989577  1.          0.51892959  1.          0.25        0.75
  -1.5       ]], Action: 1, Reward: -8.75, Score: -3273.75, Episode: 1, Step: 150
State: [[ 0.43168909  1.          0.57027657  1.          0.25        0.75
  -1.75      ]], Action: 3, Reward: -5, Score: -3278.75, Episode: 1, Step: 151
State: [[ 0.42794557  1.          0.51298177  1.          0.25        0.75
  -2.        ]], Action: 3, Reward: -5, Score: -3283.75, Episode: 1, Step: 152
State: [[ 0.41866075  1.          0.28900456  1.          0.25        0.75
  -2.25      ]], Action: 3, Reward: -5, Score: -3288.75, Episode: 1, Step: 153
State: [[ 0.40767027  1.          0.22740546  1.          0.25        0.75
  -2.5       ]], Action: 3, Reward: -5, Score: -3293.75, Episode: 1, Step: 154
State: [[ 0.39527696  1.          0.17762197  1.          0.25        0.75
  -2.75      ]], Action: 3, Reward: -5, Score: -3298.75, Episode: 1, Step: 155
State: [[0.38787706 1.         0.14677511 0.53682567 0.25       0.75
  0.75      ]], Action: 3, Reward: -5, Score: -3303.75, Episode: 1, Step: 156
State: [[0.38577861 1.         0.12283915 0.45072058 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -3313.75, Episode: 1, Step: 157
State: [[0.34883032 1.         0.11840331 0.48823619 0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -3323.75, Episode: 1, Step: 158
State: [[0.3396325  1.         0.11880119 0.51016924 0.25       0.75
  0.75      ]], Action: 2, Reward: -100, Score: -3423.75, Episode: 1, Step: 159
State: [[0.31468238 1.         0.10345798 0.482834   0.25       0.75
  0.75      ]], Action: 1, Reward: -10, Score: -3433.75, Episode: 1, Step: 160
State: [[0.29693011 1.         0.10896051 1.         0.25       0.75
  0.5       ]], Action: 1, Reward: -10, Score: -3443.75, Episode: 1, Step: 161
State: [[0.29239444 1.         0.11602323 1.         0.25       0.75
  0.25      ]], Action: 2, Reward: -100, Score: -3543.75, Episode: 1, Step: 162
State: [[0.27819474 1.         0.10726346 1.         0.25       0.75
  0.        ]], Action: 1, Reward: -10, Score: -3553.75, Episode: 1, Step: 163
State: [[ 0.27755693  1.          0.13094646  1.          0.25        0.75
  -0.25      ]], Action: 1, Reward: 15, Score: -3538.75, Episode: 1, Step: 164
State: [[ 0.28605199  1.          0.34746786  1.          0.25        0.75
  -0.5       ]], Action: 1, Reward: 15, Score: -3523.75, Episode: 1, Step: 165
State: [[ 0.29134912  1.          0.36871701  1.          0.25        0.75
  -0.75      ]], Action: 3, Reward: -5, Score: -3528.75, Episode: 1, Step: 166
State: [[ 0.28636243  1.          0.33591747  1.          0.25        0.75
  -1.        ]], Action: 1, Reward: -5, Score: -3533.75, Episode: 1, Step: 167
State: [[ 0.29096952  1.          0.3530725   1.          0.25        0.75
  -1.25      ]], Action: 0, Reward: -50, Score: -3583.75, Episode: 1, Step: 168
State: [[ 0.31094881  1.          0.44235187  1.          0.25        0.75
  -1.5       ]], Action: 1, Reward: -5, Score: -3588.75, Episode: 1, Step: 169
State: [[ 0.32110148  1.          0.48652802  1.          0.25        0.75
